Name,Command
WOO-1,DELETE
WOO-11,DELETE
WOO-12,DELETE
WOO-13,DELETE
WOO-14,DELETE
WOO-15,DELETE
WOO-16,DELETE
WOO-17,DELETE
WOO-18,DELETE
WOO-19,DELETE
WOO-2,DELETE
WOO-20,DELETE
WOO-21,DELETE
WOO-22,DELETE
WOO-23,DELETE
WOO-24,DELETE
WOO-25,DELETE
WOO-26,DELETE
WOO-27,DELETE
WOO-28,DELETE
WOO-29,DELETE
WOO-3,DELETE
WOO-30,DELETE
WOO-32,DELETE
WOO-33,DELETE
WOO-34,DELETE
WOO-35,DELETE
WOO-36,DELETE
WOO-37,DELETE
WOO-38,DELETE
WOO-39,DELETE
WOO-40,DELETE
WOO-41,DELETE
WOO-42,DELETE
WOO-45,DELETE
WOO-46,DELETE
WOO-47,DELETE
WOO-48,DELETE
WOO-49,DELETE
WOO-5,DELETE
WOO-50,DELETE
WOO-51,DELETE
WOO-52,DELETE
WOO-53,DELETE
WOO-54,DELETE
WOO-55,DELETE
WOO-56,DELETE
WOO-58,DELETE
WOO-59,DELETE
WOO-6,DELETE
WOO-60,DELETE
WOO-61,DELETE
WOO-62,DELETE
WOO-63,DELETE
WOO-67,DELETE
WOO-7,DELETE
WOO-70,DELETE
WOO-71,DELETE
WOO-72,DELETE
WOO-73,DELETE
WOO-75,DELETE
WOO-76,DELETE
WOO-77,DELETE
WOO-78,DELETE
WOO-8,DELETE
WOO-83,DELETE
WOO-85,DELETE
WOO-86,DELETE
WOO-88,DELETE
WOO-89,DELETE
WOO-9,DELETE
WOO-91,DELETE
WOO-92,DELETE
WOO-94,DELETE
WOO-96,DELETE
NORVEGR#1002,DELETE
NORVEGR#1017,DELETE
NORVEGR#1024,DELETE
NORVEGR#1026,DELETE
NORVEGR#1030,DELETE
NORVEGR#1032,DELETE
NORVEGR#1039,DELETE
NORVEGR#1041,DELETE
NORVEGR#1045,DELETE
NORVEGR#1047,DELETE
NORVEGR#1055,DELETE
NORVEGR#1059,DELETE
NORVEGR#1063,DELETE
NORVEGR#1067,DELETE
NORVEGR#1075,DELETE
NORVEGR#1080,DELETE
NORVEGR#1083,DELETE
NORVEGR#1086,DELETE
NORVEGR#1089,DELETE
NORVEGR#1092,DELETE
NORVEGR#1095,DELETE
NORVEGR#1096,DELETE
NORVEGR#1098,DELETE
NORVEGR#1106,DELETE
NORVEGR#1108,DELETE
