Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Metafield: custom.allowed_countries [list.single_line_text_field],Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Header (product.metafields.custom.header),Bedding size (product.metafields.shopify.bedding-size),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Warmth level (product.metafields.shopify.warmth-level),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Norway,Price / Norway,Compare At Price / Norway,Included / European Union,Price / European Union,Compare At Price / European Union,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / United States,Price / United States,Compare At Price / United States,Status
un-applicato-100-egyptian-cotton-duvet-cover-pillowcase,Un Applicato – 100% Egyptian Cotton Duvet Cover / Pillowcase,"<p>Made in Italy<br>100 % Egyptian long-staple cotton<br>Satin weave<br>Single thread/ply<br>Oxford borders<br>Single application<br>300 thread count</p>
<p>What makes this bed linen so luxurious?<br>Our ‘Un Applicato’ bed linen is woven in wonderfully soft and shiny satin. This 100% Egyptian cotton sateen is made of 300 thread count, which gives a superbly luxurious appeal and a silky soft feel against your skin. The thread count is carefully selected to complement the insulating and breathing capabilities of our down duvets and pillows.</p>
<p>Oxford border design: This bed linen has a single white application on a white base color and Oxford borders.</p>
<p>Care of this product:<br>– Machine wash with warm water on a gentle cycle.<br>– Do not use bleach (bleaching may weaken fabric and cause yellowing).<br>– Do not use fabric softener.<br>– Wash dark colors separately.<br>– Tumble dry on low heat.<br>– Remove while still damp.<br>– Iron on “cotton” setting to regain luster and sheen.</p>",Norvegr,Home & Garden > Linens & Bedding > Bedding > Duvet Covers,Bed Linen,Bed Linen,true,Product Type,Pillow Case,,Size,Boudoir XL,,,,,LIN-UA-PC-BDX,,0.0,,0,deny,manual,141.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/imgi_34_linen.jpg?v=1787918685,1,Norvegr luxury Egyptian cotton bed linen,false,Egyptian Cotton Duvet Covers & Pillowcases | Norvegr,Un Applicato Egyptian cotton duvet covers and pillowcases. 300 thread count sateen with Oxford borders. Made in Italy by Norvegr.,,,,,,,,,,,,kg,,,true,1320.00,,true,130.00,,true,110.00,,true,,,active
un-applicato-100-egyptian-cotton-duvet-cover-pillowcase,,,,,,,,,Pillow Case,,,Boudoir,,,,,LIN-UA-PC-BDR,,0.0,,0,deny,manual,127.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/imgi_18_luxury-duvet-covers.jpg?v=1787918685,2,Un Applicato Egyptian cotton duvet cover with Oxford border,,,,,,,,,,,,,,,kg,,,,1190.00,,,110.00,,,100.00,,,,,
un-applicato-100-egyptian-cotton-duvet-cover-pillowcase,,,,,,,,,Pillow Case,,,Standard,,,,,LIN-UA-PC-STD,"[""UK"",""EURO"",""NO"",""US""]",0.0,,0,deny,manual,165.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/imgi_21_luxury-duvet-cases.jpg?v=1787918685,3,Un Applicato Egyptian cotton pillowcase with Oxford border,,,,,,,,,,,,,,,kg,,,,1540.00,,,150.00,,,130.00,,,,,
un-applicato-100-egyptian-cotton-duvet-cover-pillowcase,,,,,,,,,Pillow Case,,,Euro/Square,,,,,LIN-UA-PC-EUR,"[""UK"",""EURO"",""NO"",""US""]",0.0,,0,deny,manual,179.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,,1670.00,,,160.00,,,140.00,,,,,
un-applicato-100-egyptian-cotton-duvet-cover-pillowcase,,,,,,,,,Pillow Case,,,Queen,,,,,LIN-UA-PC-QUN,"[""US""]",0.0,,0,deny,manual,165.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,,1540.00,,,150.00,,,130.00,,,,,
un-applicato-100-egyptian-cotton-duvet-cover-pillowcase,,,,,,,,,Pillow Case,,,King,,,,,LIN-UA-PC-KNG,"[""UK"",""EURO"",""NO"",""US""]",0.0,,0,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,,1590.00,,,150.00,,,130.00,,,,,
un-applicato-100-egyptian-cotton-duvet-cover-pillowcase,,,,,,,,,Duvet Cover,,,Single,,,,,LIN-UA-DC-SNG,"[""UK"",""EURO"",""NO""]",0.0,,0,deny,manual,472.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,,4400.00,,,410.00,,,350.00,,,,,
un-applicato-100-egyptian-cotton-duvet-cover-pillowcase,,,,,,,,,Duvet Cover,,,Double,,,,,LIN-UA-DC-DBL,"[""UK"",""EURO"",""NO""]",0.0,,0,deny,manual,589.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,,5500.00,,,510.00,,,440.00,,,,,
un-applicato-100-egyptian-cotton-duvet-cover-pillowcase,,,,,,,,,Duvet Cover,,,King,,,,,LIN-UA-DC-KNG,"[""US"",""UK"",""EURO"",""NO""]",0.0,,0,deny,manual,632.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,,5900.00,,,550.00,,,470.00,,,,,
un-applicato-100-egyptian-cotton-duvet-cover-pillowcase,,,,,,,,,Duvet Cover,,,Superking,,,,,LIN-UA-DC-SKG,"[""UK"",""EURO"",""NO""]",0.0,,0,deny,manual,655.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,,6110.00,,,570.00,,,490.00,,,,,
