Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Header (product.metafields.custom.header),Bedding size (product.metafields.shopify.bedding-size),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Warmth level (product.metafields.shopify.warmth-level),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Norway,Price / Norway,Compare At Price / Norway,Included / European Union,Price / European Union,Compare At Price / European Union,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / United States,Price / United States,Compare At Price / United States,Status
european-white-goose-100-down-duvet-fill-power-850,"European White Goose, 100% Down Duvet, Fill Power 850","<p>European White Goose, 100% down, fill power 850 (EU).</p>
<p>Highest fill power that is commercially available.</p>
<p>Huge down clusters with very good density and magnificent ability to trap air between the fibres for insulation and breathability.</p>
<p>The down has some cling, creating extra pockets of air in between the down clusters.</p>
<p>For those that prefer a lofty-looking duvet for aesthetic reasons, this collection can be chosen as Winter weight. It will work well all year round in air-conditioned bedrooms or bedrooms where the night-time temperatures are a few degrees chillier than during the day.</p>
<p>Available in Summer, All-year, Winter and Polar and therefore suitable for all climates and all possible personal preferences. Can also be tailor-made to suit individual tastes. Each duvet is made to order with a three week lead time.</p>",Norvegr,Home & Garden > Linens & Bedding > Bedding > Quilts & Comforters,Duvets,"Duvets, Premium Collection, Top Picks",true,Size,Single,,Weight,Summer,,,,,DVT-850-SNG-SUM,0.0,,0,deny,manual,1140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Down_074.jpg?v=1788266245,1,,false,Luxury Goose Down Duvet | Fill Power 850 | Norvegr,"Premium 100% European White Goose down duvet, fill power 850. Lightweight, breathable luxury bedding in all weights and sizes. Made to order by Norvegr.",,single; double; king; twin; queen; california-king; twin-xl,other,white,,lightweight-summer; medium-all-season; extra-warm; warm-winter,,,,,,kg,,,true,11840,,true,990,,true,840,,true,,,active
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Single,,,All Year,,,,,DVT-850-SNG-ALY,0.0,,0,deny,manual,1320.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Packaging_023_906496da-7980-4181-96e3-fa82de262acd.jpg?v=1788266245,2,,,,,,,,,,,,,,,,kg,,,true,13520,,true,1140,,true,970,,,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Single,,,Winter,,,,,DVT-850-SNG-WIN,0.0,,0,deny,manual,1725.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Rolled_Up_Duvet_0131.jpg?v=1788266246,3,,,,,,,,,,,,,,,,kg,,,true,17300,,true,1490,,true,1270,,,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Single,,,Polar,,,,,DVT-850-SNG-POL,0.0,,0,deny,manual,2355.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Rolled_Up_Duvet_056.jpg?v=1788266245,4,,,,,,,,,,,,,,,,kg,,,true,23780,,true,2040,,true,1740,,,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Double,,,Summer,,,,,DVT-850-DBL-SUM,0.0,,0,deny,manual,1525.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Rolled_up_Duvet_106copy2.Premium.jpg?v=1788266245,5,,,,,,,,,,,,,,,,kg,,,true,14220,,true,1320,,true,1130,,,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Double,,,All Year,,,,,DVT-850-DBL-ALY,0.0,,0,deny,manual,1875.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Rolled_up_Duvet_112copy2.Premium.jpg?v=1788266246,6,,,,,,,,,,,,,,,,kg,,,true,17490,,true,1620,,true,1380,,,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Double,,,Winter,,,,,DVT-850-DBL-WIN,0.0,,0,deny,manual,2355.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,21960,,true,2040,,true,1740,,,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Double,,,Polar,,,,,DVT-850-DBL-POL,0.0,,0,deny,manual,3275.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,30540,,true,2830,,true,2420,,,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Superking,,,Summer,,,,,DVT-850-SKG-SUM,0.0,,0,deny,manual,2095.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,19540,,true,1810,,true,1550,,,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Superking,,,All Year,,,,,DVT-850-SKG-ALY,0.0,,0,deny,manual,2425.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,22620,,true,2100,,true,1790,,,,,
